"workouts - Comprehensive Data Analysis"
"Generated on: 25/9/2025, 10:46:45 pm"
"Topic: workouts"

"=== SHEET: MAIN DATA ==="
"ID","Item/Category","Description","Value/Amount","Date","Status","Priority"
"1","Gym Membership","Planet Fitness Membership","30","2024-01-15","Active","High"
"2","Running Shoes","New Nike Pegasus","120","2024-02-20","Purchased","High"
"3","Workout Class","Spin Class (60 min)","25","2024-03-05","Completed","Medium"
"4","Personal Training","Session with John Doe","75","2024-03-12","Completed","High"
"5","Gym Equipment","Adjustable Dumbbells (5-25 lbs)","80","2024-04-10","Purchased","High"
"6","Workout Supplement","Protein Powder (2 lbs)","40","2024-04-22","Purchased","Medium"
"7","Yoga Mat","Manduka PRO","100","2024-05-01","Purchased","Medium"
"8","Workout Class","Yoga Class (90 min)","20","2024-05-15","Completed","Medium"
"9","Running","5k run","0","2024-06-01","Completed","Low"
"10","Gym Session","Weight Training","0","2024-06-10","Completed","Medium"
"11","Swimming","Lap swimming (30 min)","0","2024-06-20","Completed","Low"
"12","Personal Training","Session with John Doe","75","2024-07-05","Completed","High"
"13","Workout Supplement","Creatine Monohydrate","25","2024-07-18","Purchased","Medium"
"14","Workout Class","Zumba Class (60 min)","18","2024-08-02","Completed","Low"
"15","Running Shoes","New Running Socks","20","2024-08-15","Purchased","Low"
"16","Gym Session","Cardio and Strength Training","0","2024-09-01","Completed","Medium"


"=== SHEET: SUMMARY STATISTICS ==="
"Category","Count","Total Value","Average Value","Percentage","Trend"
"Gym Membership","1","30","30","0.08","Stable"
"Running Shoes","2","140","70","0.37","Increasing"
"Workout Class","3","63","21","0.17","Stable"
"Personal Training","2","150","75","0.4","Stable"
"Gym Equipment","1","80","80","0.21","Increasing"
"Workout Supplement","2","65","32.5","0.17","Increasing"
"Yoga Mat","1","100","100","0.27","Increasing"
"Running","1","0","0","0","Stable"


"=== SHEET: MONTHLY BREAKDOWN ==="
"Month","Q1","Q2","Q3","Q4","Total","Growth %"
"January","30","0","0","0","30","0"
"February","120","0","0","0","120","300"
"March","95","0","0","0","215","78.33"
"April","120","0","0","0","335","56.06"
"May","120","0","0","0","455","35.82"
"June","0","0","0","0","455","0"
"July","75","0","0","0","530","16.48"
"August","38","0","0","0","568","7.17"
"September","0","0","0","0","568","0"
"October","0","0","0","0","568","0"
"November","0","0","0","0","568","0"
"December","0","0","0","0","568","0"


